run,seed,agent_steps,iteration,phase,n_fit,n_test,source,layer,factor,probe_type,json_pointer,mse,target_variance,global_mse_ratio,r_squared,global_r2,null_mse,null_target_variance,null_r_squared,null_global_r2,selected_rcond,cv_folds,cv_validation_mse
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.03221932580940899,0.09555247831576143,0.33718984978011185,0.6628101502198882,0.6628101502198882,0.0313570440731871,0.062195463140271204,0.4958306845876095,0.4958306845876095,1e-06,10,"{""0.0001"": 0.03313848709657557, ""0.01"": 0.034871888723919164, ""1e-06"": 0.0326152501487105, ""1e-08"": 0.05225313932064477, ""1e-10"": 0.05225313932064477, ""1e-15"": 0.05225313932064477}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.09700925119372539,0.09555247831576143,1.015245788530465,-0.01524578853046532,-0.015245788530465099,0.06360737074707447,0.062195463140271204,-0.022701135026825803,-0.022701135026825803,0.01,10,"{""0.0001"": 0.09043704591695956, ""0.01"": 0.09034868278150218, ""1e-06"": 0.09058811879359634, ""1e-08"": 0.09110728302764977, ""1e-10"": 0.09110728302764977, ""1e-15"": 0.09110728302764977}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.014816064266317156,0.09555247831576143,0.15505682874447474,0.8449431712555252,0.8449431712555253,0.017334718425520736,0.062195463140271204,0.7212864483953556,0.7212864483953556,1e-15,10,"{""0.0001"": 0.016413448312945167, ""0.01"": 0.028651002666606713, ""1e-06"": 0.01614271475545151, ""1e-08"": 0.01614271475545151, ""1e-10"": 0.01614271475545151, ""1e-15"": 0.01614271475545151}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.09689557884168597,0.09555247831576143,1.014056155838116,-0.014056155838116036,-0.014056155838116036,0.06343077733610358,0.062195463140271204,-0.01986180556363637,-0.01986180556363637,0.01,10,"{""0.0001"": 0.09057717098491828, ""0.01"": 0.09035466340218513, ""1e-06"": 0.09062544330837605, ""1e-08"": 0.09062544330837605, ""1e-10"": 0.09062544330837605, ""1e-15"": 0.09062544330837605}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.012472406014507217,0.09555247831576143,0.13052938274704998,0.86947061725295,0.86947061725295,0.01615042355691653,0.062195463140271204,0.7403279477075038,0.7403279477075038,1e-15,10,"{""0.0001"": 0.013486595111717011, ""0.01"": 0.029049084923260953, ""1e-06"": 0.013486595111717011, ""1e-08"": 0.013486595111717011, ""1e-10"": 0.013486595111717011, ""1e-15"": 0.013486595111717011}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.0967171313273907,0.09555247831576143,1.012188621709848,-0.012188621709847913,-0.012188621709847913,0.06345373796234027,0.062195463140271204,-0.020230974391673096,-0.020230974391673096,0.01,10,"{""0.0001"": 0.09067000035226071, ""0.01"": 0.09036049556881369, ""1e-06"": 0.09067000035226071, ""1e-08"": 0.09067000035226071, ""1e-10"": 0.09067000035226071, ""1e-15"": 0.09067000035226071}"
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
token_cycle_1_context,42,0,0,initial,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_000000000/probe_battery.json,control,strata,train_mean,/controls/train_mean/strata,0.09595638360300797,0.09555247831576143,1.004227051923361,-0.004227051923360925,-0.004227051923360925,0.06308358673254315,0.062195463140271204,-0.014279555894116225,-0.014279555894116225,,,
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_1,strata,probe_fits,/layers/layer_1/probe_fits/strata,0.012346641895851882,0.09555247831576143,0.12921320423580576,0.8707867957641943,0.8707867957641943,0.02442319164824999,0.062195463140271204,0.607315543367405,0.607315543367405,1e-15,10,"{""0.0001"": 0.012554545454565325, ""0.01"": 0.01377665538227558, ""1e-06"": 0.012552543831742285, ""1e-08"": 0.012552543831742285, ""1e-10"": 0.012552543831742285, ""1e-15"": 0.012552543831742285}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_1,strata,shuffled_training_labels,/layers/layer_1/shuffled_training_labels/strata,0.0960329069725323,0.09555247831576143,1.0050279036738667,-0.00502790367386674,-0.00502790367386674,0.06337102600638339,0.062195463140271204,-0.01890110317951832,-0.018901103179518097,0.01,10,"{""0.0001"": 0.09060762644708209, ""0.01"": 0.09036902207689688, ""1e-06"": 0.09066466231997443, ""1e-08"": 0.09066466231997443, ""1e-10"": 0.09066466231997443, ""1e-15"": 0.09066466231997443}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_2,strata,probe_fits,/layers/layer_2/probe_fits/strata,0.004096605374249255,0.09555247831576143,0.042872832253619514,0.9571271677463805,0.9571271677463805,0.009571057939102632,0.062195463140271204,0.8461132459530569,0.8461132459530569,1e-15,10,"{""0.0001"": 0.004326310012157584, ""0.01"": 0.008205756749148531, ""1e-06"": 0.004326310012157584, ""1e-08"": 0.004326310012157584, ""1e-10"": 0.004326310012157584, ""1e-15"": 0.004326310012157584}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_2,strata,shuffled_training_labels,/layers/layer_2/shuffled_training_labels/strata,0.09553777303879624,0.09555247831576143,0.9998461026105823,0.0001538973894176232,0.00015389738941773423,0.06312724506041727,0.062195463140271204,-0.014981509471914345,-0.014981509471914123,0.01,10,"{""0.0001"": 0.09066695054541513, ""0.01"": 0.0903887347307756, ""1e-06"": 0.09066695054541513, ""1e-08"": 0.09066695054541513, ""1e-10"": 0.09066695054541513, ""1e-15"": 0.09066695054541513}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_3,strata,probe_fits,/layers/layer_3/probe_fits/strata,0.004048814958063187,0.09555247831576143,0.04237268388459301,0.957627316115407,0.957627316115407,0.008894582863366952,0.062195463140271204,0.8569898443668351,0.8569898443668351,1e-15,10,"{""0.0001"": 0.004157263638507914, ""0.01"": 0.007987661162929816, ""1e-06"": 0.004157263638507914, ""1e-08"": 0.004157263638507914, ""1e-10"": 0.004157263638507914, ""1e-15"": 0.004157263638507914}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,layer_3,strata,shuffled_training_labels,/layers/layer_3/shuffled_training_labels/strata,0.09552974759445244,0.09555247831576143,0.9997621126975497,0.00023788730245022371,0.00023788730245033474,0.06313491709789988,0.062195463140271204,-0.015104863123374557,-0.015104863123374557,0.01,10,"{""0.0001"": 0.09065257330585899, ""0.01"": 0.09041354452168464, ""1e-06"": 0.09065257330585899, ""1e-08"": 0.09065257330585899, ""1e-10"": 0.09065257330585899, ""1e-15"": 0.09065257330585899}"
token_cycle_1_context,42,2513610,76,final,20000,20000,experiments/strata_token_guess_cycle_1/ppo/results/20260909T061802Z-7d4e2248/checkpoint_probes/steps_002513610/probe_battery.json,control,strata,current_visible_token,/controls/current_visible_token/strata,0.07080621181481284,0.09555247831576143,0.7410191034588092,0.25898089654119083,0.25898089654119083,0.06299653134821333,0.062195463140271204,-0.012879849550045952,-0.012879849550045952,,,
